#鳴潮,2025/01/04,280887,161376,119,0
#鳴潮,2025/02/21,132979,47852,87,0
#鳴潮,2025/02/22,105421,34384,80,0
#鳴潮,2025/02/23,76911,33714,103,0
#鳴潮,2025/02/24,47988,32930,79,0
#鳴潮,2025/02/25,88730,25420,87,0
#鳴潮,2025/02/26,36041,14709,72,0
#鳴潮,2025/02/27,52918,22049,65,0
#鳴潮,2025/02/28,77218,4740,51,0
#鳴潮,2025/03/01,66476,20978,67,0
#鳴潮,2025/03/02,92296,21409,67,0
#鳴潮,2025/03/03,63714,31697,76,0
#鳴潮,2025/03/04,82884,51867,73,0
#鳴潮,2025/03/05,61387,20813,71,0
#鳴潮,2025/03/06,241636,141385,137,0
#鳴潮,2025/03/07,119616,62159,99,0
#鳴潮,2025/03/08,75393,24253,77,0
#鳴潮,2025/03/09,77989,38776,73,0
#鳴潮,2025/03/10,46710,17787,70,0
#鳴潮,2025/03/11,72393,48685,75,0
#鳴潮,2025/03/12,30970,15577,64,0
#鳴潮,2025/03/13,102930,18016,65,0
#鳴潮,2025/03/14,25615,22181,59,0
#鳴潮,2025/03/15,31845,22440,54,0
#鳴潮,2025/03/16,49762,30014,71,0
#鳴潮,2025/03/17,83216,20598,72,0
#鳴潮,2025/03/18,80321,71019,76,0
#鳴潮,2025/03/19,28201,24893,50,0
#鳴潮,2025/03/20,74148,40100,65,0
#鳴潮,2025/03/21,423384,300101,90,0
#鳴潮,2025/03/22,124383,82818,95,0
#鳴潮,2025/03/23,217908,46139,67,0
#鳴潮,2025/03/24,79798,37774,63,0
#鳴潮,2025/03/25,138649,79060,74,0
#鳴潮,2025/03/26,97489,27025,59,0
#鳴潮,2025/03/27,519603,375285,126,0
#鳴潮,2025/03/28,379167,169170,114,0
#鳴潮,2025/03/29,216577,157340,137,0
#鳴潮,2025/03/30,125155,70128,116,0
#鳴潮,2025/03/31,126124,37068,99,0
#鳴潮,2025/04/01,111109,46691,98,0
#鳴潮,2025/04/02,406229,57485,115,0
#鳴潮,2025/04/03,329454,78966,113,0
#鳴潮,2025/04/04,120463,31282,100,0
#鳴潮,2025/04/05,108904,34162,93,0
#鳴潮,2025/04/06,56619,38640,88,0
#鳴潮,2025/04/07,127302,80532,94,0
#鳴潮,2025/04/08,265964,81998,84,0
#鳴潮,2025/04/09,113511,44460,75,0
#鳴潮,2025/04/10,68140,29476,67,0
#鳴潮,2025/04/11,46453,13743,70,0
#鳴潮,2025/04/12,39813,23672,59,0
#鳴潮,2025/04/13,113388,37798,77,0
#鳴潮,2025/04/14,60996,18993,80,0
#鳴潮,2025/04/15,98008,36484,84,0
#鳴潮,2025/04/16,156391,63509,69,0
#鳴潮,2025/04/17,127693,63546,98,0
#鳴潮,2025/04/18,49928,29269,96,0
#鳴潮,2025/04/19,486866,231684,127,0
#鳴潮,2025/04/20,196472,86183,113,0
#鳴潮,2025/04/21,162114,36797,91,0
#鳴潮,2025/04/22,106918,32306,92,0
#鳴潮,2025/04/23,72330,18535,93,0
#鳴潮,2025/04/24,150241,31584,80,0
#鳴潮,2025/04/25,223042,30712,84,0
#鳴潮,2025/04/26,140937,52531,79,0
#鳴潮,2025/04/27,165371,71408,101,0
#鳴潮,2025/04/28,174170,49320,102,0
#鳴潮,2025/04/29,583187,218376,202,0
#鳴潮,2025/04/30,315683,43854,156,0
#鳴潮,2025/05/01,267626,93514,118,0
#鳴潮,2025/05/02,154530,33772,119,0
#鳴潮,2025/05/03,99309,39968,128,0
#鳴潮,2025/05/04,224239,101243,118,0
